"Bloco","Países"
"Ásia (Exclusive Oriente Médio)","Timor Leste"
"Oceania","Wallis e Futuna, Ilhas"
"África","Seicheles"
"Comunidade Andina das Nações - CAN","Equador"
"América Central e Caribe","Montserrat"
"Associação de Nações do Sudeste Asiático - ASEAN","Tailândia"
"África","República Centro-Africana"
"Europa","Alemanha"
"União Europeia - UE","Ilha de Man"
"África","Maurício"
"América Central e Caribe","Barbados"
"Oceania","Toquelau"
"União Europeia - UE","Letônia"
"Europa","Iugoslávia"
"Oriente Médio","Líbano"
"União Europeia - UE","Terras Austrais Francesas"
"América Central e Caribe","Antilhas Holandesas"
"União Europeia - UE","Eslováquia"
"Ásia (Exclusive Oriente Médio)","Paquistão"
"Europa","Mônaco"
"África","Níger"
"Oceania","Nova Zelândia"
"África","Congo"
"América Central e Caribe","Anguilla"
"Europa","Grécia"
"Ásia (Exclusive Oriente Médio)","Camboja"
"América Central e Caribe","Virgens, Ilhas (Britânicas)"
"América Central e Caribe","Trinidad e Tobago"
"Oriente Médio","Jordânia"
"Oceania","Polinésia Francesa"
"Oceania","Papua, Território de"
"União Europeia - UE","Chipre"
"África","Uganda"
"Europa","Eslovênia"
"Europa","Alboran-Perejil, Ilhas"
"Europa","Hungria"
"Europa","San Marino"
"Oceania","Nauru"
"Oceania","Marshall, Ilhas"
"Europa","Croácia"
"África","Comores"
"Oceania","Austrália"
"Oceania","Cook, Ilhas"
"Europa","Vaticano"
"África","África do Sul"
"África","Chade"
"Europa","Malta"
"União Europeia - UE","Luxemburgo"
"Oriente Médio","Irã"
"África","Argélia"
"Mercado Comum do Sul - Mercosul","Paraguai"
"União Europeia - UE","Lituânia"
"Associação de Nações do Sudeste Asiático - ASEAN","Singapura"
"Europa","Países Baixos (Holanda)"
"Oceania","Pacífico, Ilhas do (EUA)"
"América Central e Caribe","Bahamas"
"Associação de Nações do Sudeste Asiático - ASEAN","Malásia"
"Oceania","Guam"
"Oceania","Norfolk, Ilha"
"Oriente Médio","Emirados Árabes Unidos"
"União Europeia - UE","Inglaterra"
"África","Togo"
"África","Camarões"
"Oceania","Samoa Americana"
"União Europeia - UE","França"
"América do Sul","Equador"
"Europa","Áustria"
"América Central e Caribe","Santa Lúcia"
"União Europeia - UE","Estônia"
"Oriente Médio","Iraque"
"América do Sul","Suriname"
"Europa","Belarus"
"América Central e Caribe","Cuba"
"América do Sul","Argentina"
"América do Sul","Venezuela"
"América Central e Caribe","Granada"
"Europa","Bélgica"
"América Central e Caribe","Cayman, Ilhas"
"Europa","Irlanda"
"África","Guiné Equatorial"
"África","Gana"
"América Central e Caribe","Panamá"
"Europa","Montenegro"
"África","Território Britânico do Oceano Índico"
"Associação de Nações do Sudeste Asiático - ASEAN","Brunei"
"América Central e Caribe","Dominica"
"Ásia (Exclusive Oriente Médio)","Coreia do Sul"
"Europa","Andorra"
"União Europeia - UE","Portugal"
"América Central e Caribe","Costa Rica"
"Oriente Médio","Coveite (Kuweit)"
"África","Cabo Verde"
"Oceania","Tonga"
"Oceania","Johnston, Ilhas"
"África","Djibuti"
"África","Burkina Faso"
"Europa","Ucrânia"
"União Europeia - UE","Suécia"
"África","Serra Leoa"
"Europa","Canal, Ilhas do (Guernsey)"
"Europa","Madeira, Ilha da"
"União Europeia - UE","Itália"
"Ásia (Exclusive Oriente Médio)","Sri Lanka"
"África","Nigéria"
"Oceania","Salomão, Ilhas"
"África","Zâmbia"
"Europa","Romênia"
"América Central e Caribe","São Cristóvão e Névis"
"Oceania","Midway, Ilhas"
"África","Reunião"
"Europa","Bulgária"
"África","Sudão"
"África","Etiópia"
"América Central e Caribe","Honduras"
"Oriente Médio","Barein"
"União Europeia - UE","Dinamarca"
"Ásia (Exclusive Oriente Médio)","Vietnã"
"Ásia (Exclusive Oriente Médio)","Laos"
"Ásia (Exclusive Oriente Médio)","Coreia do Norte"
"Associação de Nações do Sudeste Asiático - ASEAN","Filipinas"
"Ásia (Exclusive Oriente Médio)","Hong Kong"
"Mercado Comum do Sul - Mercosul","Uruguai"
"América Central e Caribe","Martinica"
"Ásia (Exclusive Oriente Médio)","Indonésia"
"Oceania","Marianas do Norte, Ilhas"
"Europa","Noruega"
"África","Namíbia"
"Oriente Médio","Palestina"
"Oriente Médio","Omã"
"Oriente Médio","Iêmen Democrático"
"Europa","Jersey"
"Europa","Tcheca, República"
"Ásia (Exclusive Oriente Médio)","Mianmar"
"Ásia (Exclusive Oriente Médio)","Armênia"
"África","Benin"
"África","Lesoto"
"América Central e Caribe","Aruba"
"Europa","Aland, Ilhas"
"Europa","Polônia"
"América Central e Caribe","Belize"
"Mercado Comum do Sul - Mercosul","Internação na Zona Franca de Manaus"
"Oceania","Palau"
"África","Libéria"
"América Central e Caribe","Nicarágua"
"Europa","Bósnia-Herzegovina"
"Oriente Médio","Catar"
"Europa","Reino Unido"
"África","Guiné"
"África","Eritreia"
"Europa","Finlândia"
"Europa","Espanha"
